record_date,farm_id,animal_id,breed,age_years,lactation_number,days_in_milk,previous_mastitis_history,vaccinated,chronic_disease_flag,latitude,longitude,environment_area,ambient_temperature_c,relative_humidity_pct,temperature_humidity_index,surface_moisture_pct,hygiene_score_0_100,ventilation_score_0_100,manure_contamination_score_0_100,teat_cleanliness_score_0_100,milking_hygiene_score_0_100,post_milking_teat_dip,milking_interval_h,feed_intake_kg_day,water_intake_l_day,environment_total_mastitis_pathogen_load_log10,S_aureus_load_log10_cfu_equiv,S_uberis_load_log10_cfu_equiv,E_coli_load_log10_cfu_equiv,K_pneumoniae_load_log10_cfu_equiv,S_agalactiae_load_log10_cfu_equiv,dominant_environment_pathogen,dominant_pathogen_relative_abundance_pct,milk_yield_kg_day,milk_scc_cells_per_ml,milk_conductivity_mS_cm,milk_pH,milk_temperature_c,milk_fat_pct,milk_protein_pct,milk_lactose_pct,cmt_score_0_3,body_temperature_c,udder_surface_temperature_c,activity_score,rumination_min_day,blood_wbc_10e9_per_l,clinical_mastitis_now,synthetic_risk_score_pct,mastitis_risk_category,mastitis_in_next_7d,mastitis_in_next_14d,days_to_synthetic_event
2026-01-07,F21,9,Gir_cross,8.1,1,26,1,1,0,9.35419,76.10921,water_trough,26.3,83.84,77.41,53.65,45.94,63.08,54.66,54.08,65.9,1,7.48,6.12,48.59,6.361,4.478,4.753,5.939,6.124,4.036,K_pneumoniae,57.91,8.81,99774,3.878,6.614,36.82,3.97,3.13,4.81,0,38.55,33.85,111.0,440.4,6.53,0,67.71,Moderate,0,0,
2026-01-08,F21,9,Gir_cross,8.1,1,27,1,1,0,9.35419,76.10921,bedding,25.63,77.79,75.64,36.81,42.53,63.32,55.55,37.34,64.46,1,6.51,6.83,41.68,6.182,4.612,4.823,5.548,6.022,3.915,K_pneumoniae,69.18,8.82,89266,4.024,6.715,37.1,3.96,3.33,4.59,0,38.53,33.73,104.1,426.7,7.24,0,60.98,Moderate,0,0,
2026-01-09,F21,9,Gir_cross,8.1,1,28,1,1,0,9.35419,76.10921,external_waste_area,31.88,76.96,85.36,42.38,10.87,58.88,99.88,1.26,47.25,0,7.84,6.75,48.7,6.419,5.29,5.376,5.954,6.104,4.31,K_pneumoniae,48.41,10.6,151655,3.856,6.593,37.15,3.73,3.22,4.81,0,38.21,33.97,116.9,466.4,8.72,0,88.57,High,0,0,
2026-01-10,F21,9,Gir_cross,8.1,1,29,1,1,0,9.35419,76.10921,traffic_lane,31.31,61.16,81.79,1.0,55.16,81.97,37.07,43.45,80.61,1,7.33,6.86,43.32,4.745,4.077,4.339,3.93,3.979,3.583,S_uberis,39.26,8.89,76385,3.841,6.742,37.01,3.68,3.27,4.67,0,38.55,33.98,96.3,489.5,6.53,0,10.86,No_Risk,0,0,
2026-01-11,F21,9,Gir_cross,8.1,1,30,1,1,0,9.35419,76.10921,feed_area,24.7,78.62,74.25,21.42,63.21,63.81,21.69,73.07,81.18,1,8.67,6.67,44.45,4.698,3.549,3.793,4.043,4.286,3.992,K_pneumoniae,38.68,9.4,76964,3.998,6.647,37.31,3.59,3.14,4.59,1,38.63,33.62,111.7,538.1,6.81,0,7.39,No_Risk,0,0,
2026-01-12,F21,9,Gir_cross,8.1,1,31,1,1,0,9.35419,76.10921,bedding,26.97,85.71,78.74,41.83,71.25,64.02,32.62,64.83,88.11,1,8.3,6.68,48.68,5.978,4.249,5.087,5.795,5.231,4.225,E_coli,65.63,8.93,88963,4.051,6.62,36.95,3.89,3.0,4.81,0,38.64,34.21,93.4,520.5,9.66,0,42.09,Low,0,0,
2026-01-13,F21,9,Gir_cross,8.1,1,32,1,1,0,9.35419,76.10921,feed_area,33.17,73.1,86.65,9.57,63.64,73.23,22.09,72.68,88.29,0,9.03,4.91,39.97,4.671,4.151,4.012,4.105,3.727,3.644,S_aureus,30.2,9.26,109863,4.008,6.673,37.02,3.35,3.26,4.93,0,38.29,33.84,91.1,472.2,7.44,0,7.74,No_Risk,0,0,
2026-01-14,F21,9,Gir_cross,8.1,1,33,1,1,0,9.35419,76.10921,bedding,26.65,75.07,76.92,42.96,35.6,68.93,65.33,20.43,51.57,1,7.83,7.61,51.47,6.578,4.848,5.719,6.319,6.04,4.04,E_coli,55.09,10.52,165404,3.971,6.688,36.96,3.77,3.4,4.85,0,38.48,34.02,86.1,435.9,5.29,0,86.81,High,0,0,
2026-01-15,F21,9,Gir_cross,8.1,1,34,1,1,0,9.35419,76.10921,bedding,31.3,77.95,84.62,31.13,41.42,75.24,49.51,32.94,63.02,1,7.83,5.89,54.98,5.898,4.192,5.405,5.37,5.42,4.366,K_pneumoniae,33.31,8.31,247829,4.087,6.666,37.21,4.05,3.29,4.76,0,38.57,34.32,104.3,522.1,7.27,0,60.49,Moderate,0,0,
2026-01-16,F21,9,Gir_cross,8.1,1,35,1,1,0,9.35419,76.10921,bedding,28.17,77.37,79.59,18.84,47.21,64.72,55.67,32.83,56.24,1,6.73,7.01,49.41,5.595,4.051,4.878,5.126,5.224,3.721,K_pneumoniae,42.6,8.37,53238,3.978,6.603,36.91,3.51,3.17,4.7,1,38.59,34.26,103.6,493.5,9.12,0,46.18,Moderate,0,0,
2026-01-17,F21,9,Gir_cross,8.1,1,36,1,1,0,9.35419,76.10921,milking_parlor,26.94,76.63,77.56,3.78,79.16,71.55,0.0,83.71,96.38,1,5.89,6.13,38.71,4.681,4.372,3.42,4.038,3.405,3.92,S_aureus,49.1,9.41,151350,4.142,6.643,37.02,3.41,3.21,4.69,0,38.43,34.76,105.8,453.4,8.46,0,3.79,No_Risk,0,0,
2026-01-18,F21,9,Gir_cross,8.1,1,37,1,1,0,9.35419,76.10921,bedding,30.96,76.65,83.86,31.73,46.67,57.21,55.5,45.97,58.1,1,8.72,8.59,53.5,5.889,4.619,5.097,5.567,5.331,4.381,E_coli,47.7,8.35,100843,4.048,6.665,37.09,3.83,3.08,4.77,0,38.36,34.07,102.2,428.6,7.95,0,62.65,Moderate,0,0,
2026-01-19,F21,9,Gir_cross,8.1,1,38,1,1,0,9.35419,76.10921,milking_parlor,27.95,70.63,78.33,7.96,79.82,78.24,0.0,69.89,94.97,0,7.24,6.35,52.59,4.745,4.415,3.608,3.992,3.86,3.926,S_aureus,46.79,8.77,81532,4.053,6.638,36.96,3.86,3.49,4.77,0,38.38,33.94,103.6,459.9,8.51,0,4.63,No_Risk,0,0,
2026-01-20,F21,9,Gir_cross,8.1,1,39,1,1,0,9.35419,76.10921,feed_area,28.38,68.34,78.67,26.7,73.68,78.12,14.09,68.57,81.61,1,7.99,7.72,41.82,4.69,3.886,3.851,4.219,4.115,3.665,E_coli,33.8,8.11,119288,3.961,6.686,37.19,3.81,3.28,4.59,0,38.32,34.09,89.9,473.1,6.52,0,7.48,No_Risk,0,0,
2026-01-21,F21,9,Gir_cross,8.1,1,40,1,1,0,9.35419,76.10921,bedding,26.68,85.98,78.3,21.35,45.75,59.58,29.81,45.41,72.17,1,7.45,6.44,51.72,5.545,4.383,4.765,4.662,5.329,3.968,K_pneumoniae,60.81,9.71,43268,3.903,6.637,37.08,3.83,3.05,4.71,0,38.54,33.33,98.5,474.6,6.39,0,37.84,Low,0,0,
2026-01-22,F21,9,Gir_cross,8.1,1,41,1,1,0,9.35419,76.10921,external_road,32.18,65.48,83.79,21.4,77.84,76.7,20.89,66.99,96.72,1,6.43,9.08,59.47,4.747,3.778,4.103,3.743,4.449,3.541,K_pneumoniae,50.37,9.62,37166,3.862,6.681,36.94,3.92,3.33,4.64,0,38.39,33.93,104.9,530.3,8.6,0,6.89,No_Risk,0,0,
2026-01-23,F21,9,Gir_cross,8.1,1,42,1,1,0,9.35419,76.10921,feed_area,28.49,72.4,79.4,15.51,72.47,78.4,26.03,78.29,90.42,1,7.72,8.13,58.92,4.688,3.886,4.06,4.033,3.737,4.124,S_agalactiae,27.33,9.83,51093,3.936,6.66,36.82,3.7,3.22,4.74,0,38.45,34.31,95.2,446.7,9.67,0,5.69,No_Risk,0,0,
2026-01-24,F21,9,Gir_cross,8.1,1,43,1,1,0,9.35419,76.10921,manure_area,34.52,69.19,87.93,49.38,29.26,67.4,70.26,46.25,63.76,1,7.71,5.54,58.32,6.523,4.256,5.071,6.164,6.234,4.364,K_pneumoniae,51.48,7.78,77106,4.132,6.672,37.0,3.8,3.21,4.65,0,38.58,34.14,96.3,468.4,6.66,0,76.98,High,0,0,
2026-01-25,F21,9,Gir_cross,8.1,1,44,1,1,0,9.35419,76.10921,feed_area,29.47,68.77,80.34,16.52,63.12,71.43,21.99,72.16,85.6,1,7.26,8.22,47.74,4.891,3.785,4.076,4.128,4.623,3.639,K_pneumoniae,53.96,9.47,116813,4.036,6.609,36.86,3.85,3.2,4.71,1,38.44,34.24,108.8,501.1,8.37,0,11.17,No_Risk,0,0,
2026-01-26,F21,9,Gir_cross,8.1,1,45,1,1,0,9.35419,76.10921,bedding,32.66,82.01,87.51,28.76,58.68,60.29,40.02,53.85,90.82,1,6.7,7.54,58.81,5.705,4.229,5.125,5.356,5.034,4.333,E_coli,44.76,7.17,107547,4.089,6.714,36.89,4.07,3.26,4.69,0,38.44,34.5,100.5,522.3,7.33,0,33.96,Low,0,0,
2026-01-27,F21,9,Gir_cross,8.1,1,46,1,1,0,9.35419,76.10921,traffic_lane,29.6,67.79,80.38,15.08,54.24,60.62,44.37,66.46,82.73,0,8.72,8.32,43.12,5.285,4.368,4.577,5.004,4.337,3.954,E_coli,52.35,8.38,188524,4.152,6.728,37.16,3.64,3.15,4.66,0,38.55,34.3,102.8,517.1,9.04,0,29.09,Low,0,0,
2026-01-28,F21,9,Gir_cross,8.1,1,47,1,1,0,9.35419,76.10921,pasture,28.83,77.3,80.62,9.87,68.18,59.8,36.18,65.1,73.91,0,6.92,7.44,49.32,5.175,5.061,4.262,3.767,3.762,3.642,S_aureus,77.04,7.97,117967,3.673,6.612,36.95,4.06,3.33,4.91,1,38.56,34.03,89.6,452.1,8.62,0,10.55,No_Risk,0,0,
2026-01-29,F21,9,Gir_cross,8.1,1,48,1,1,0,9.35419,76.10921,external_road,33.54,69.45,86.53,1.0,69.61,70.59,1.03,67.23,91.41,1,6.24,6.64,44.15,4.139,3.44,3.429,3.464,3.421,3.444,E_coli,21.16,9.14,66953,3.989,6.649,37.18,3.93,3.19,4.78,1,38.44,34.21,105.5,497.5,8.18,0,2.04,No_Risk,0,0,
2026-01-30,F21,9,Gir_cross,8.1,1,49,1,1,0,9.35419,76.10921,milking_parlor,30.37,74.6,82.61,5.67,80.36,73.28,14.79,77.01,89.02,1,7.4,6.69,63.86,4.661,4.302,3.584,3.642,3.526,4.151,S_aureus,43.77,8.64,71261,4.273,6.667,36.9,3.59,3.1,4.71,1,38.46,34.41,92.1,444.7,8.76,0,3.79,No_Risk,0,0,
2026-01-31,F21,9,Gir_cross,8.1,1,50,1,1,0,9.35419,76.10921,bedding,29.3,86.6,82.75,47.12,54.06,81.19,35.82,68.04,86.83,1,10.68,6.69,50.92,5.983,4.364,5.509,5.463,5.503,3.894,S_uberis,33.55,7.68,49739,3.967,6.688,36.94,3.75,3.38,4.71,0,38.36,34.56,104.3,474.8,7.6,0,47.63,Moderate,0,0,
2026-02-01,F21,9,Gir_cross,8.1,1,51,1,1,0,9.35419,76.10921,manure_area,32.14,78.5,86.05,67.29,27.73,72.13,85.55,20.19,46.8,1,10.06,6.9,49.58,6.937,4.738,4.944,6.125,6.853,4.508,K_pneumoniae,82.54,8.6,131350,4.105,6.659,36.98,3.74,3.28,4.54,0,38.37,34.57,101.5,430.9,8.18,0,84.32,High,0,0,
2026-02-02,F21,9,Gir_cross,8.1,1,52,1,1,0,9.35419,76.10921,bedding,22.42,75.26,70.37,33.57,58.01,60.8,43.66,61.17,78.65,1,10.04,7.29,43.81,5.819,4.024,5.213,4.878,5.602,3.981,K_pneumoniae,60.69,10.18,161952,4.167,6.655,36.8,3.76,3.22,4.75,0,38.29,34.17,101.3,457.5,9.36,0,36.86,Low,0,0,
2026-02-03,F21,9,Gir_cross,8.1,1,53,1,1,0,9.35419,76.10921,external_road,26.21,72.08,75.87,2.43,58.32,70.1,35.85,62.81,74.38,1,6.9,7.21,49.46,4.337,3.674,3.233,4.022,3.475,3.256,E_coli,48.38,8.67,79731,4.058,6.639,37.14,4.1,3.14,4.8,0,38.5,33.9,104.3,441.0,8.27,0,5.97,No_Risk,0,0,
2026-02-04,F21,9,Gir_cross,8.1,1,54,1,1,0,9.35419,76.10921,water_trough,18.96,83.84,65.4,68.78,65.95,72.22,56.05,59.13,82.43,1,7.67,7.64,46.15,6.26,4.144,4.98,5.759,6.052,3.841,K_pneumoniae,62.02,9.09,94080,4.038,6.631,36.94,3.74,3.2,4.69,0,38.48,33.98,94.7,510.5,7.41,0,49.31,Moderate,0,0,
2026-02-05,F21,9,Gir_cross,8.1,1,55,1,1,0,9.35419,76.10921,soil,28.12,74.81,79.17,45.53,64.44,53.37,33.52,42.19,74.13,1,9.09,6.74,50.35,5.785,4.172,5.562,4.997,4.97,4.567,S_uberis,59.88,8.82,42771,4.1,6.699,36.99,3.96,2.96,4.88,0,38.73,33.63,105.6,464.5,8.0,0,32.87,Low,0,0,
2026-02-06,F21,9,Gir_cross,8.1,1,56,1,1,0,9.35419,76.10921,traffic_lane,27.41,70.29,77.47,2.37,46.11,79.35,30.08,66.81,79.83,1,10.09,7.4,44.02,4.545,3.685,4.322,3.594,3.354,3.49,S_uberis,59.78,7.9,82551,3.799,6.672,37.11,3.99,3.24,4.69,0,38.49,34.12,102.7,425.9,7.54,0,8.81,No_Risk,0,0,
2026-02-07,F21,9,Gir_cross,8.1,1,57,1,1,0,9.35419,76.10921,bedding,27.48,74.18,78.08,41.77,59.03,71.38,38.49,36.95,73.5,1,6.7,6.99,48.26,5.879,4.151,5.281,5.465,5.397,4.052,E_coli,38.51,8.62,178886,4.081,6.615,36.93,4.03,3.28,4.83,0,38.54,34.04,100.2,446.7,8.45,0,44.06,Low,0,0,
2026-02-08,F21,9,Gir_cross,8.1,1,58,1,1,0,9.35419,76.10921,water_trough,24.84,77.29,74.35,61.02,42.94,61.79,72.92,47.21,72.19,0,7.2,7.56,46.66,6.605,5.707,5.422,5.821,6.41,4.334,K_pneumoniae,63.8,7.67,111864,4.047,6.649,37.09,4.06,3.24,4.98,0,38.61,34.21,98.8,489.1,8.43,0,80.02,High,0,0,
2026-02-09,F21,9,Gir_cross,8.1,1,59,1,1,0,9.35419,76.10921,external_waste_area,30.82,73.74,83.17,58.62,10.46,84.08,100.0,14.34,50.77,1,9.49,6.67,48.59,6.799,4.861,5.721,6.074,6.649,4.72,K_pneumoniae,70.8,8.92,96589,4.202,6.623,37.12,3.9,3.43,4.67,1,38.53,34.05,99.2,444.6,7.15,0,92.02,High,0,0,
2026-01-01,F27,10,Jersey_cross,6.4,4,20,0,1,0,9.65217,78.3278,bedding,27.25,90.78,79.86,42.26,50.92,67.94,40.47,38.19,66.12,1,8.58,7.47,48.99,6.175,4.401,5.381,5.898,5.626,4.269,E_coli,52.8,14.64,192345,4.177,6.594,36.91,3.92,3.1,4.74,0,38.63,34.18,102.3,479.9,7.6,0,59.82,Moderate,0,0,
2026-01-02,F27,10,Jersey_cross,6.4,4,21,0,1,0,9.65217,78.3278,milking_parlor,28.54,75.32,79.88,15.68,86.94,69.81,0.0,95.4,97.4,1,8.84,6.57,37.93,5.095,4.684,4.093,4.084,4.085,4.597,S_aureus,38.8,14.41,97252,3.986,6.617,37.0,3.56,3.33,4.77,0,38.4,33.37,92.6,441.0,9.22,0,6.37,No_Risk,0,0,
2026-01-03,F27,10,Jersey_cross,6.4,4,22,0,1,0,9.65217,78.3278,water_trough,26.38,95.08,78.89,68.23,46.01,55.93,70.49,41.98,44.67,0,6.29,5.93,56.6,6.79,5.267,5.362,6.162,6.627,4.789,K_pneumoniae,68.72,14.42,75924,3.848,6.675,37.1,3.68,3.38,4.82,0,38.53,34.6,92.8,462.2,9.46,0,81.63,High,0,0,
2026-01-04,F27,10,Jersey_cross,6.4,4,23,0,1,0,9.65217,78.3278,bedding,32.93,70.78,85.85,40.65,57.1,72.92,42.19,64.96,66.37,0,7.52,6.89,52.81,5.979,5.046,5.359,5.567,5.314,4.581,E_coli,38.73,15.42,161107,4.042,6.587,37.1,3.95,3.23,4.79,0,38.47,34.14,101.2,432.6,8.56,0,45.17,Moderate,0,0,
2026-01-05,F27,10,Jersey_cross,6.4,4,24,0,1,0,9.65217,78.3278,soil,31.12,66.22,82.37,38.48,52.77,75.36,50.27,48.33,72.67,0,6.96,6.41,50.96,5.547,5.046,4.933,4.565,5.021,4.145,S_aureus,31.55,15.54,194466,4.184,6.666,37.05,3.81,3.18,4.73,0,38.63,34.04,111.7,459.9,9.77,0,29.47,Low,0,0,
2026-01-06,F27,10,Jersey_cross,6.4,4,25,0,1,0,9.65217,78.3278,manure_area,31.93,82.06,86.32,42.83,18.12,63.58,96.61,7.57,55.46,1,6.04,7.21,50.28,6.309,4.826,4.647,5.898,6.045,4.399,K_pneumoniae,54.48,15.01,141771,3.95,6.63,37.12,3.59,3.1,4.8,0,38.18,33.99,102.2,455.1,6.82,0,74.01,High,0,0,
2026-01-07,F27,10,Jersey_cross,6.4,4,26,0,1,0,9.65217,78.3278,external_waste_area,30.99,73.36,83.36,36.11,31.43,74.5,62.74,45.55,68.52,1,9.21,6.5,47.37,6.037,4.656,4.988,5.624,5.706,4.228,K_pneumoniae,46.69,15.48,123760,4.038,6.662,36.88,3.56,3.31,4.92,0,38.5,33.9,107.3,503.2,6.24,0,66.34,Moderate,0,0,
2026-01-08,F27,10,Jersey_cross,6.4,4,27,0,1,0,9.65217,78.3278,external_waste_area,29.98,81.78,83.13,32.86,0.0,62.21,93.54,0.0,56.12,0,8.32,6.19,52.77,6.299,5.182,4.968,5.846,6.008,4.4,K_pneumoniae,51.18,15.65,106083,4.143,6.678,36.95,3.85,3.32,4.81,0,38.9,33.93,93.9,511.0,8.23,0,83.21,High,0,0,
2026-01-09,F27,10,Jersey_cross,6.4,4,28,0,1,0,9.65217,78.3278,milking_parlor,26.47,73.49,76.44,7.48,78.23,76.57,6.93,89.9,100.0,1,7.91,7.31,40.25,4.496,3.838,3.735,3.528,3.71,4.023,S_agalactiae,33.6,14.94,97972,4.136,6.599,37.21,4.02,3.39,4.83,1,38.6,33.91,90.1,479.4,9.23,0,2.55,No_Risk,0,0,
2026-01-10,F27,10,Jersey_cross,6.4,4,29,0,1,0,9.65217,78.3278,external_road,30.29,57.09,79.71,8.41,68.0,69.33,13.49,75.02,88.58,1,7.19,7.29,54.58,4.468,3.614,3.963,3.808,3.827,3.471,S_uberis,31.23,15.11,52883,3.899,6.66,37.11,3.85,3.29,4.68,1,38.44,34.01,97.6,477.3,6.95,0,4.52,No_Risk,0,0,
2026-01-11,F27,10,Jersey_cross,6.4,4,30,0,1,0,9.65217,78.3278,manure_area,29.69,88.44,83.67,48.37,38.13,58.96,64.68,23.71,52.19,1,9.05,6.8,50.98,6.645,4.716,5.011,6.431,6.186,4.422,E_coli,61.15,13.86,154360,4.17,6.596,36.85,4.02,3.13,4.72,0,38.36,34.16,101.8,502.7,8.76,0,78.7,High,0,0,
2026-01-12,F27,10,Jersey_cross,6.4,4,31,0,1,0,9.65217,78.3278,pasture,28.76,69.12,79.33,35.51,79.36,67.24,32.12,79.32,81.03,1,8.42,7.72,47.03,5.346,4.435,4.813,4.869,4.648,4.041,E_coli,33.37,15.82,112666,3.978,6.628,37.02,3.78,3.42,4.82,0,38.65,33.55,96.8,453.6,9.05,0,18.65,No_Risk,0,0,
2026-01-13,F27,10,Jersey_cross,6.4,4,32,0,1,0,9.65217,78.3278,external_road,31.97,69.75,84.23,4.36,74.45,81.62,0.0,52.78,96.89,1,6.9,6.8,48.45,4.349,3.698,3.134,3.529,3.861,3.727,K_pneumoniae,32.52,15.8,163204,4.139,6.671,37.02,3.91,3.12,4.7,0,38.55,33.6,111.6,409.8,8.65,0,2.86,No_Risk,0,0,
2026-01-14,F27,10,Jersey_cross,6.4,4,33,0,1,0,9.65217,78.3278,manure_area,32.84,82.39,87.86,49.94,27.2,80.83,81.96,27.94,56.37,0,6.56,5.04,54.13,6.495,5.426,5.165,6.288,5.88,4.187,E_coli,62.06,15.41,139606,4.1,6.59,37.03,3.95,3.23,4.87,0,38.84,33.8,101.3,516.7,8.09,0,79.93,High,0,0,
2026-01-15,F27,10,Jersey_cross,6.4,4,34,0,1,0,9.65217,78.3278,soil,27.47,62.09,76.5,23.54,58.59,85.51,39.28,32.69,70.76,1,8.24,7.52,47.34,5.255,4.484,4.751,4.898,4.02,3.544,E_coli,43.96,14.73,122334,4.038,6.706,37.16,4.08,3.52,4.86,0,38.64,34.08,107.1,462.7,8.4,0,19.41,No_Risk,0,0,
2026-01-16,F27,10,Jersey_cross,6.4,4,35,0,1,0,9.65217,78.3278,pasture,30.1,66.64,80.95,26.84,69.29,73.12,32.34,70.43,90.63,1,6.48,5.96,50.98,5.251,4.183,4.989,4.487,4.341,4.102,S_uberis,54.79,15.04,152053,4.192,6.633,36.9,3.68,3.29,4.7,0,38.48,34.02,97.7,516.4,6.08,0,12.94,No_Risk,0,0,
2026-01-17,F27,10,Jersey_cross,6.4,4,36,0,1,0,9.65217,78.3278,soil,26.57,74.45,76.72,37.98,66.07,62.27,30.47,55.19,71.63,1,6.05,8.14,43.61,5.417,4.217,4.933,4.589,5.008,4.27,K_pneumoniae,38.96,15.05,108134,4.096,6.574,37.17,3.55,3.3,4.92,1,38.45,33.98,92.7,463.2,6.03,0,22.54,Low,0,0,
2026-01-18,F27,10,Jersey_cross,6.4,4,37,0,1,0,9.65217,78.3278,bedding,30.32,85.04,84.2,38.79,50.13,83.82,47.88,48.27,71.04,1,11.46,7.65,54.77,6.002,4.269,5.49,5.587,5.449,3.965,E_coli,38.46,15.25,91857,4.018,6.654,37.21,3.77,3.09,4.74,0,38.65,34.33,112.1,487.4,8.96,0,51.3,Moderate,0,0,
2026-01-19,F27,10,Jersey_cross,6.4,4,38,0,1,0,9.65217,78.3278,external_waste_area,31.0,84.29,85.19,38.95,24.78,53.42,75.69,32.38,54.93,1,8.01,5.66,52.7,6.086,4.4,4.837,5.901,5.497,4.131,E_coli,65.42,15.19,110685,3.839,6.597,36.83,3.86,3.3,4.55,0,38.36,33.87,102.4,461.5,8.5,0,69.45,Moderate,0,0,
2026-01-20,F27,10,Jersey_cross,6.4,4,39,0,1,0,9.65217,78.3278,manure_area,27.29,94.0,80.35,47.61,33.68,71.46,73.07,26.6,63.99,1,7.75,6.6,52.28,6.342,4.302,5.386,6.08,5.846,4.523,E_coli,54.65,14.96,114021,3.94,6.646,37.08,3.77,3.26,4.8,0,38.65,34.08,98.9,408.6,9.5,0,67.87,Moderate,0,0,
2026-01-21,F27,10,Jersey_cross,6.4,4,40,0,1,0,9.65217,78.3278,soil,28.78,74.22,80.09,37.58,55.5,82.37,46.81,59.0,86.48,1,6.73,7.02,54.68,5.726,4.12,5.417,5.067,5.114,4.06,S_uberis,49.04,15.14,147294,4.177,6.685,37.11,4.06,3.24,4.58,1,38.39,34.09,102.2,491.4,6.46,0,26.58,Low,0,0,
2026-01-22,F27,10,Jersey_cross,6.4,4,41,0,1,0,9.65217,78.3278,water_trough,18.63,74.22,64.45,59.22,67.74,46.21,30.99,82.87,81.44,1,8.75,6.92,54.44,5.893,4.109,4.933,5.364,5.642,4.09,K_pneumoniae,56.17,15.61,109949,3.946,6.659,37.26,3.72,3.17,4.68,0,38.31,33.89,110.6,499.6,7.06,0,27.38,Low,0,0,
2026-01-23,F27,10,Jersey_cross,6.4,4,42,0,1,0,9.65217,78.3278,feed_area,27.5,70.75,77.67,16.13,65.25,67.49,23.47,54.5,99.53,0,9.96,5.72,55.59,4.786,4.242,4.173,4.094,3.975,3.839,S_aureus,28.56,16.44,67792,3.975,6.685,36.69,3.85,3.31,4.64,0,38.42,33.97,93.8,499.3,8.02,0,7.69,No_Risk,0,0,
2026-01-24,F27,10,Jersey_cross,6.4,4,43,0,1,0,9.65217,78.3278,water_trough,28.47,83.7,80.95,60.88,64.07,61.81,41.03,64.11,83.07,1,8.81,5.66,56.29,6.841,4.476,5.103,6.607,6.433,4.266,E_coli,58.36,15.39,106620,4.029,6.659,36.94,3.74,3.45,4.78,1,38.55,34.16,110.4,446.9,8.95,0,67.28,Moderate,0,0,
2026-01-25,F27,10,Jersey_cross,6.4,4,44,0,1,0,9.65217,78.3278,pasture,31.83,68.14,83.74,18.7,86.09,70.85,0.0,89.94,99.48,1,5.45,5.96,46.19,4.965,3.86,4.552,4.386,3.908,4.229,S_uberis,38.62,15.84,106150,3.981,6.608,37.05,3.79,3.25,4.74,0,38.67,34.26,80.0,475.9,8.1,0,4.35,No_Risk,0,0,
2026-01-26,F27,10,Jersey_cross,6.4,4,45,0,1,0,9.65217,78.3278,feed_area,30.0,78.98,82.71,28.64,64.64,60.28,28.41,45.0,95.65,1,9.25,7.55,53.0,4.994,4.407,4.415,4.363,4.257,3.776,S_uberis,26.35,14.79,109375,4.174,6.643,37.0,3.69,3.3,4.9,0,38.61,34.0,101.5,509.6,6.61,0,11.75,No_Risk,0,0,
2026-01-27,F27,10,Jersey_cross,6.4,4,46,0,1,0,9.65217,78.3278,soil,27.03,86.34,78.93,28.22,41.06,70.29,68.16,53.69,70.63,1,8.34,6.62,48.98,5.468,3.961,5.179,4.698,4.851,4.111,S_uberis,51.35,15.97,86041,4.054,6.676,36.85,4.01,3.21,4.89,1,38.45,33.28,98.4,515.1,7.12,0,32.02,Low,0,0,
2026-01-28,F27,10,Jersey_cross,6.4,4,47,0,1,0,9.65217,78.3278,milking_parlor,28.86,77.26,80.67,25.32,82.69,79.39,20.97,69.55,93.34,1,8.93,5.87,57.92,5.068,4.204,4.385,4.19,4.481,4.489,S_agalactiae,26.4,14.62,105844,4.063,6.625,37.01,3.54,3.05,4.87,0,38.61,34.56,106.1,442.1,5.34,0,6.2,No_Risk,0,0,
2026-01-29,F27,10,Jersey_cross,6.4,4,48,0,1,0,9.65217,78.3278,bedding,29.99,86.07,83.81,33.38,62.97,71.09,26.68,60.12,85.31,1,10.47,6.01,54.2,5.936,4.344,5.402,5.325,5.553,4.291,K_pneumoniae,41.43,15.09,129770,3.917,6.616,37.2,3.95,3.24,4.82,0,38.58,34.44,110.3,470.8,8.56,0,32.1,Low,0,0,
2026-01-30,F27,10,Jersey_cross,6.4,4,49,0,1,0,9.65217,78.3278,bedding,27.24,82.89,78.83,38.75,48.02,66.35,53.07,39.39,80.78,1,8.69,6.83,46.28,5.985,4.152,5.635,5.444,5.363,4.11,S_uberis,44.64,14.14,85100,3.986,6.682,36.71,3.46,3.14,4.93,0,38.43,33.91,102.1,454.4,8.25,0,36.89,Low,0,0,
2026-01-31,F27,10,Jersey_cross,6.4,4,50,0,1,0,9.65217,78.3278,pasture,26.85,68.92,76.46,38.46,82.16,68.73,16.12,78.86,78.37,0,7.99,6.03,51.96,5.262,4.623,4.959,4.326,4.065,4.231,S_uberis,49.79,14.06,101769,3.902,6.588,36.91,3.76,3.08,4.87,0,38.5,34.54,91.3,432.7,7.23,0,12.47,No_Risk,0,0,
2026-02-01,F27,10,Jersey_cross,6.4,4,51,0,1,0,9.65217,78.3278,bedding,28.09,82.15,80.11,24.69,43.57,75.24,60.32,28.77,73.53,1,8.2,5.88,40.96,5.803,4.427,5.242,5.181,5.436,3.942,K_pneumoniae,42.97,13.42,95513,4.315,6.634,36.86,3.82,3.29,4.75,0,38.45,34.12,105.9,490.1,7.72,0,47.08,Moderate,0,0,
