Record_ID,Cow_ID,Data_Source,Record_Type,Day,Days_Before_Index,Breed,Age_Years,Lactation_Number,Parity,Days_In_Milk,Previous_Mastitis_History,Vaccination_Status,Body_Temperature_C,Udder_Temperature_C,Activity_Index,Rumination_Time_min,Feed_Intake_kgDM,Water_Intake_L,Milk_Temperature,Milk_pH,Milk_Conductivity,Somatic_Cell_Count,Milk_Yield,Clotting,Milk_Fat_pct,Milk_Protein_pct,Milk_Lactose_pct,Milk_Solids_pct,Ambient_Temperature_C,Humidity_pct,THI,Hygiene_Score,Bedding_Cleanliness_Score,Milking_Frequency,class1,SCC_Change_3d,SCC_Change_7d,Conductivity_Change_3d,Conductivity_Change_7d,Yield_Change_3d,Yield_Change_7d,Activity_Change_3d,Activity_Change_7d,Rumination_Change_3d,Rumination_Change_7d,Temperature_Change_3d,Temperature_Change_7d
R00328,C0328,Original,Index_Observation,7,0,Holstein_Friesian,5.4,5,5,187,0,0,38.87,39.6,72.5,428.6,18.27,83.4,35.7,6.58,4.93,114,9.2,0.0,3.6,2.89,4.5,11.67,27.6,69.4,77.7,2,2,3,0.0,-15.89,,-0.13,,-3.05,,-4.95,,17.0,,0.17,
R00329,C0329,Original,Index_Observation,20,0,Jersey,6.3,5,5,24,0,0,38.89,39.67,51.0,474.0,17.05,63.9,37.93,7.22,6.41,564,13.4,1.0,3.95,3.61,4.58,12.75,27.7,81.4,79.4,2,2,3,1.0,67.21,108.89,0.42,0.36,-3.25,-3.95,1.6,1.47,-30.21,-30.48,1.06,1.29
R00330,C0330,Original,Index_Observation,9,0,Crossbred,6.7,5,5,24,0,1,38.17,37.94,95.5,468.1,16.17,90.1,35.35,6.63,5.02,203,17.4,0.0,3.91,3.01,4.34,11.88,34.4,62.6,86.6,2,3,3,0.0,67.16,17.75,-0.16,-0.09,-1.36,-0.75,0.48,4.89,4.75,-57.09,0.58,0.75
R00331,C0331,Original,Index_Observation,1,0,Jersey,6.5,5,5,229,1,0,38.45,38.07,62.3,441.0,15.07,54.7,35.57,6.43,4.34,212,21.6,0.0,4.07,3.33,4.48,12.62,21.2,56.8,67.2,1,1,2,0.0,,,,,,,,,,,,
R00332,C0332,Original,Index_Observation,8,0,Crossbred,5.6,5,5,77,1,1,37.95,38.74,92.2,383.7,16.31,94.3,35.42,6.44,4.79,163,17.6,0.0,4.3,3.34,4.8,13.13,38.6,40.4,87.2,2,2,2,0.0,21.0,54.37,0.23,-0.36,-3.53,-4.73,-6.58,3.99,-15.3,-17.55,-0.18,-0.04
R00333,C0333,Original,Index_Observation,7,0,Jersey,5.6,5,5,53,0,0,38.55,38.88,90.7,484.9,15.91,77.9,35.85,6.59,4.45,199,19.4,0.0,4.26,3.27,4.82,13.32,27.8,60.9,76.9,2,3,3,0.0,5.18,,-0.21,,-0.87,,0.93,,-32.12,,0.59,
R00334,C0334,Original,Index_Observation,18,0,Sahiwal,5.4,4,4,23,1,1,38.48,38.39,77.5,467.7,12.0,84.5,35.98,6.7,4.87,155,24.6,0.0,4.35,3.07,4.66,12.86,31.0,72.8,83.4,1,4,3,0.0,56.85,-48.29,0.38,0.52,0.91,0.12,-0.29,-22.48,-7.37,-23.54,0.54,0.42
R00335,C0335,Original,Index_Observation,8,0,Crossbred,2.5,2,2,16,0,1,38.3,38.62,77.9,407.1,17.57,54.1,35.11,6.38,4.69,146,23.0,0.0,4.04,3.2,4.74,12.6,28.7,76.4,80.3,2,2,2,0.0,51.35,71.27,0.4,1.26,0.62,-0.01,-2.56,-4.24,22.27,15.21,0.56,0.94
R00336,C0336,Original,Index_Observation,1,0,Jersey,5.8,4,4,170,0,1,38.97,39.51,38.5,478.0,14.2,76.8,34.83,6.6,4.22,137,22.7,0.0,4.34,3.03,4.73,12.67,19.0,44.0,63.7,2,1,2,0.0,,,,,,,,,,,,
R00337,C0337,Original,Index_Observation,11,0,Crossbred,2.1,1,1,285,0,1,38.08,38.44,71.3,404.4,16.05,96.2,34.58,6.6,4.83,138,18.5,0.0,3.48,3.41,4.74,12.4,22.5,82.6,71.1,2,3,3,0.0,2.78,36.44,0.31,-0.34,2.13,0.31,-3.72,-24.56,17.52,-16.22,-0.57,0.01
R00338,C0338,Original,Index_Observation,28,0,Jersey,3.1,2,2,53,0,0,39.01,39.0,81.9,489.1,10.97,56.6,37.93,7.13,7.48,817,7.0,0.0,4.42,3.44,4.93,13.48,25.3,50.4,72.2,1,4,2,1.0,318.42,271.26,0.64,1.13,-4.79,-7.17,2.19,-18.12,1.02,-23.79,-0.19,-0.23
R00339,C0339,Original,Index_Observation,25,0,Crossbred,6.8,5,5,66,0,0,39.17,40.29,78.6,450.0,18.45,88.1,34.95,6.61,4.96,161,19.3,0.0,4.31,3.24,4.95,13.35,33.2,63.2,84.9,2,2,2,0.0,-1.99,20.66,-0.1,0.32,-2.53,-0.58,5.6,18.38,65.11,95.7,-0.27,0.07
R00340,C0340,Original,Index_Observation,25,0,Gir,6.0,5,5,188,0,1,39.18,40.14,54.0,358.4,10.44,63.3,38.73,7.08,7.26,588,7.6,1.0,4.54,3.18,4.88,13.34,20.8,56.5,66.7,1,1,2,1.0,-43.01,-45.79,-0.57,-0.98,-0.51,-3.75,11.03,0.74,12.79,-14.35,0.34,1.18
R00341,C0341,Original,Index_Observation,18,0,Crossbred,7.2,5,5,186,1,0,38.51,38.79,70.9,449.5,17.74,95.3,35.69,6.66,4.82,180,21.2,0.0,3.26,3.71,4.65,12.14,23.6,71.3,71.8,1,1,2,0.0,73.85,76.69,0.12,0.85,-5.02,-2.16,5.19,15.57,23.64,33.28,-0.14,0.41
R00342,C0342,Original,Index_Observation,23,0,Gir,4.0,3,3,243,0,0,38.43,38.9,39.2,453.2,11.25,65.7,38.15,7.18,7.03,1023,7.1,1.0,4.29,3.04,4.25,12.2,28.9,66.4,79.2,1,3,2,1.0,17.81,372.15,-0.12,-0.29,0.71,1.97,-9.71,-5.62,60.22,-12.27,-0.59,-0.48
R00343,C0343,Original,Index_Observation,30,0,Sahiwal,2.4,2,2,284,0,1,38.07,38.61,75.4,435.7,13.71,71.4,35.5,6.73,4.52,143,24.5,0.0,3.64,2.9,4.99,12.18,30.5,75.2,82.9,2,4,3,0.0,16.68,44.63,-0.43,-0.41,1.68,0.67,8.27,-12.69,34.88,36.02,0.04,-0.18
R00344,C0344,Original,Index_Observation,10,0,Holstein_Friesian,4.1,1,1,55,0,0,38.41,38.38,58.9,439.9,21.57,79.2,35.92,6.67,4.56,115,19.5,0.0,4.56,3.21,5.2,13.73,30.3,92.7,85.4,1,3,2,0.0,50.48,28.69,-0.52,-0.85,0.31,-1.55,-3.12,-8.19,-34.96,-66.72,-0.2,-0.17
R00345,C0345,Original,Index_Observation,3,0,Sahiwal,4.7,4,4,47,0,0,38.29,38.82,80.6,450.5,13.32,103.7,35.54,6.7,4.96,153,21.9,0.0,3.45,3.18,4.6,11.85,22.9,71.0,70.8,2,2,3,0.0,,,,,,,,,,,,
R00346,C0346,Original,Index_Observation,7,0,Sahiwal,4.6,2,2,98,1,0,38.28,38.17,89.3,437.6,11.29,91.2,35.45,7.04,5.2,180,24.4,0.0,3.38,3.49,4.84,12.45,19.7,56.3,65.2,1,3,2,0.0,-33.0,,-0.2,,0.49,,8.41,,2.07,,-0.66,
R00347,C0347,Original,Index_Observation,28,0,Gir,6.5,5,5,280,0,1,38.44,38.81,62.2,366.4,9.89,81.1,35.96,6.44,4.46,104,23.1,0.0,3.07,3.36,4.48,11.5,30.8,71.9,82.9,3,4,3,0.0,-19.98,-53.68,-0.1,0.73,1.78,-0.44,1.85,8.01,-24.75,-5.04,0.06,-0.06
R00348,C0348,Original,Index_Observation,16,0,Crossbred,3.8,3,3,170,0,0,38.47,38.42,80.4,477.5,16.23,105.5,35.35,6.82,5.02,153,15.8,0.0,3.85,3.25,4.75,12.57,35.5,94.2,94.6,1,2,2,0.0,2.79,24.35,0.3,0.52,-2.04,-2.62,-18.6,-19.65,24.6,47.81,0.28,0.37
R00349,C0349,Original,Index_Observation,26,0,Holstein_Friesian,5.1,4,4,265,1,1,38.67,38.65,72.4,460.7,20.58,96.8,35.63,6.62,4.05,159,21.3,0.0,4.7,3.35,4.94,13.75,26.2,74.8,76.2,2,4,2,0.0,-37.51,-96.14,0.49,0.81,5.18,5.26,26.58,33.53,31.03,102.99,-0.2,-0.54
R00350,C0350,Original,Index_Observation,16,0,Crossbred,2.7,1,1,21,0,1,38.12,39.15,72.6,428.1,19.02,93.6,35.66,6.68,4.34,121,22.6,0.0,3.46,3.33,4.65,12.32,22.0,79.2,70.1,3,2,2,0.0,-3.56,29.19,0.11,-0.69,-1.97,-5.11,-2.7,-18.96,-14.25,-72.21,0.35,0.31
R00351,C0351,Original,Index_Observation,25,0,Jersey,5.3,3,3,19,0,0,38.27,38.69,54.5,414.6,16.34,86.7,35.17,6.65,4.41,126,22.7,0.0,3.44,3.69,4.63,12.51,25.8,41.1,71.8,2,2,2,0.0,44.16,43.8,0.23,0.96,1.7,4.16,2.1,0.92,-23.63,-72.33,0.81,1.1
R00352,C0352,Original,Index_Observation,20,0,Crossbred,4.5,4,4,56,1,0,38.49,38.97,71.0,469.3,15.3,85.3,36.0,6.61,4.29,159,16.7,0.0,3.97,3.3,4.56,12.47,30.0,70.8,81.6,1,3,2,0.0,-22.16,-60.76,0.07,0.61,2.84,-4.47,-2.08,6.69,-34.14,-49.65,-0.08,-0.28
R00353,C0353,Original,Index_Observation,28,0,Holstein_Friesian,3.2,1,1,32,0,0,38.44,38.08,51.5,394.8,21.07,87.3,35.41,6.59,4.22,105,18.0,0.0,3.29,3.07,4.52,11.75,26.8,61.0,75.4,2,2,3,0.0,33.15,54.78,-0.11,-0.04,4.13,4.83,1.39,2.28,-37.48,-28.92,0.33,0.1
R00354,C0354,Original,Index_Observation,17,0,Holstein_Friesian,4.1,4,4,9,1,1,39.07,39.24,54.0,472.8,21.97,52.0,35.12,6.68,4.82,164,23.0,0.0,3.93,3.29,4.95,12.87,35.3,54.8,86.2,4,5,3,0.0,6.37,-70.35,0.3,0.47,3.57,3.81,1.1,-7.83,-18.12,-38.33,0.46,0.52
R00355,C0355,Original,Index_Observation,2,0,Holstein_Friesian,4.2,3,3,25,0,1,38.6,39.18,66.3,453.7,21.38,81.8,35.77,6.5,4.64,114,17.7,0.0,3.95,2.65,4.98,12.37,32.8,64.7,84.6,4,2,3,0.0,,,,,,,,,,,,
R00356,C0356,Original,Index_Observation,1,0,Holstein_Friesian,4.0,2,2,27,1,1,38.33,38.98,66.6,415.8,20.96,62.8,38.82,7.13,7.34,635,8.4,1.0,3.87,3.3,4.71,12.54,29.0,66.6,79.3,1,2,2,1.0,,,,,,,,,,,,
R00357,C0357,Original,Index_Observation,16,0,Sahiwal,7.7,6,6,262,0,1,38.64,38.23,69.1,421.1,12.95,77.6,35.51,6.61,4.91,244,24.7,0.0,3.71,3.5,4.66,12.6,17.8,55.6,62.6,3,2,2,0.0,116.24,63.49,-0.1,-0.15,-0.92,-0.2,-2.28,7.57,73.28,104.65,-0.14,-0.31
R00358,C0358,Original,Index_Observation,30,0,Sahiwal,4.3,3,3,57,1,1,38.68,39.16,63.9,433.7,10.38,76.1,35.5,6.54,4.78,116,19.9,0.0,4.01,3.36,5.12,13.12,24.4,67.8,72.7,1,2,3,0.0,0.89,-5.1,0.9,0.9,0.43,-1.74,-12.68,-8.95,36.4,29.75,-0.45,0.01
R00359,C0359,Original,Index_Observation,12,0,Holstein_Friesian,4.1,3,3,231,0,0,38.51,39.05,88.2,453.9,18.06,54.6,36.04,6.6,4.9,171,17.8,0.0,4.21,3.31,4.82,13.09,25.2,62.4,73.3,1,2,3,0.0,-1.34,-25.23,0.06,1.04,0.77,1.63,-11.85,-8.85,-2.61,81.62,0.26,0.22
R00360,C0360,Original,Index_Observation,5,0,Holstein_Friesian,2.0,1,1,58,1,0,38.42,39.49,68.4,472.9,20.25,41.6,38.3,7.1,6.31,493,10.2,1.0,4.22,3.44,4.65,13.11,24.1,75.5,73.1,2,3,2,1.0,-62.69,,0.09,,2.8,,-19.58,,-6.48,,0.76,
R00361,C0361,Original,Index_Observation,5,0,Gir,2.9,1,1,191,0,0,39.07,39.22,72.6,419.7,12.55,97.7,35.49,6.6,4.34,192,21.0,0.0,4.06,3.49,4.51,12.73,29.0,68.4,79.6,2,2,3,0.0,19.45,,0.5,,0.02,,-16.24,,-19.9,,-0.36,
R00362,C0362,Original,Index_Observation,27,0,Crossbred,4.0,3,3,254,0,1,38.2,37.8,69.4,466.4,15.83,80.7,35.91,6.69,5.02,99,16.0,0.0,3.86,3.53,4.77,12.84,29.1,70.6,80.1,2,2,2,0.0,16.32,41.52,-0.46,-0.36,-1.48,-4.75,-12.91,-30.5,-18.94,1.52,-0.02,-0.91
R00363,C0363,Original,Index_Observation,23,0,Crossbred,3.3,2,2,51,0,1,38.77,38.79,80.4,493.3,18.55,44.4,36.2,6.58,4.52,169,19.3,0.0,3.95,3.34,4.94,13.0,19.3,79.7,65.8,3,3,3,0.0,-5.35,-38.64,0.37,-0.44,-0.26,-0.22,-4.97,-3.49,1.1,1.98,0.15,-1.23
R00364,C0364,Original,Index_Observation,9,0,Crossbred,7.0,7,7,183,0,0,38.59,38.58,74.6,391.6,16.58,72.1,35.78,6.73,4.42,115,21.0,0.0,3.53,3.16,5.07,12.39,32.2,73.3,85.2,1,1,2,0.0,-16.63,29.73,0.17,-0.35,0.69,1.15,-13.28,-25.4,3.14,5.1,-0.51,-0.59
R00365,C0365,Original,Index_Observation,9,0,Jersey,4.2,2,2,145,0,1,38.7,39.38,71.6,471.2,17.97,96.0,35.51,6.72,4.65,142,23.9,0.0,3.51,2.73,5.0,11.81,28.1,64.9,77.8,2,3,2,0.0,-17.98,10.4,0.35,0.1,-2.39,-2.15,-14.6,-11.39,5.78,63.5,0.63,0.39
R00366,C0366,Original,Index_Observation,3,0,Holstein_Friesian,6.8,7,7,78,0,0,39.31,38.86,80.7,412.3,22.49,61.9,37.74,7.08,6.67,446,9.5,0.0,4.0,3.5,4.59,12.85,29.9,33.7,75.6,2,2,2,1.0,,,,,,,,,,,,
R00367,C0367,Original,Index_Observation,19,0,Sahiwal,4.6,3,3,44,0,1,38.96,39.37,48.0,397.7,13.38,80.5,37.89,7.42,6.04,469,7.1,0.0,3.44,3.4,4.7,12.26,31.9,72.7,84.7,1,2,2,1.0,-139.87,26.71,0.13,-0.34,-2.93,-7.42,5.34,-4.94,54.06,23.47,0.38,0.4
R00368,C0368,Original,Index_Observation,16,0,Jersey,4.6,3,3,229,1,0,38.32,39.26,43.5,481.5,13.86,97.9,35.35,6.72,4.8,117,23.5,0.0,3.9,3.26,4.63,12.5,24.0,51.3,70.6,2,3,2,0.0,8.8,1.26,-0.3,-0.72,2.59,2.44,10.83,-11.15,-4.01,68.72,-0.48,-0.96
R00369,C0369,Original,Index_Observation,16,0,Crossbred,4.3,3,3,26,0,0,38.84,39.25,68.7,449.3,16.59,58.9,35.2,6.66,4.8,172,19.1,0.0,4.06,3.09,4.8,12.72,34.5,63.7,87.0,4,3,2,0.0,-8.06,63.88,-0.6,-1.25,-1.63,-4.85,-0.89,5.44,3.0,-40.73,-0.01,-0.11
R00370,C0370,Original,Index_Observation,3,0,Sahiwal,4.5,3,3,6,0,0,38.58,39.5,70.8,401.5,13.89,66.5,37.9,7.09,7.07,596,11.3,1.0,3.59,3.51,4.45,12.34,27.3,70.6,77.3,2,4,2,1.0,,,,,,,,,,,,
R00371,C0371,Original,Index_Observation,20,0,Sahiwal,7.6,6,6,124,1,0,38.56,38.34,75.3,458.7,13.02,72.1,35.53,6.58,4.55,145,19.5,0.0,3.94,3.18,4.8,12.62,35.9,85.0,93.4,1,2,2,0.0,5.86,58.94,0.5,0.89,-0.81,-3.41,28.04,31.02,3.5,36.03,0.72,1.02
R00372,C0372,Original,Index_Observation,24,0,Crossbred,2.0,1,1,13,0,0,38.11,37.91,78.2,495.2,17.71,64.7,35.76,6.72,5.02,156,24.3,0.0,3.41,3.23,5.2,12.45,23.4,92.6,73.4,2,2,2,0.0,-1.85,19.19,0.37,0.72,-0.87,2.84,4.2,10.99,11.29,44.84,-0.52,0.03
R00373,C0373,Original,Index_Observation,22,0,Holstein_Friesian,2.0,1,1,202,0,1,38.18,39.12,75.0,384.1,19.41,59.2,35.46,6.63,4.85,120,20.5,0.0,3.49,3.22,4.73,12.09,35.5,51.2,85.7,4,3,2,0.0,19.19,24.26,-0.62,-0.66,-3.27,-4.82,-8.68,-17.35,19.25,-5.6,-0.41,0.07
R00374,C0374,Original,Index_Observation,24,0,Crossbred,3.5,1,1,39,0,0,38.54,38.98,60.3,398.6,19.68,67.7,35.74,6.64,5.32,158,20.0,0.0,4.58,3.34,5.2,13.9,23.3,45.3,69.1,4,3,2,0.0,-81.56,-222.79,0.04,0.09,-3.29,-4.76,3.57,-10.92,31.06,-16.29,0.15,0.31
R00375,C0375,Original,Index_Observation,1,0,Crossbred,4.5,3,3,50,0,0,38.63,39.07,76.0,484.9,15.59,75.9,35.53,6.66,5.05,211,24.9,0.0,3.35,3.0,4.83,11.92,41.3,69.9,98.3,2,3,2,0.0,,,,,,,,,,,,
R00376,C0376,Original,Index_Observation,24,0,Crossbred,5.7,3,3,38,0,0,37.9,37.87,59.0,447.3,13.2,77.8,34.51,6.68,5.04,119,15.7,0.0,3.31,3.35,4.64,11.97,23.1,68.6,70.8,2,3,2,0.0,16.32,-16.95,0.6,0.61,-5.16,-5.87,-13.48,-21.63,52.4,49.05,-0.31,0.52
R00377,C0377,Original,Index_Observation,20,0,Gir,5.4,4,4,104,1,0,38.9,39.52,64.2,498.6,10.2,79.1,37.41,7.15,6.54,603,8.4,1.0,3.94,3.14,4.62,12.34,33.5,47.0,82.3,2,3,2,1.0,0.91,74.83,0.03,0.25,-2.23,-3.63,-2.61,-0.07,-42.86,-121.43,0.39,1.01
R00378,C0378,Original,Index_Observation,11,0,Holstein_Friesian,3.8,2,2,28,0,1,38.56,38.71,42.0,458.5,16.82,73.1,38.56,7.21,6.91,464,9.4,0.0,3.79,3.14,5.03,12.74,26.1,64.8,74.9,3,1,2,1.0,55.59,-103.72,0.02,0.86,1.2,1.62,-8.22,-1.18,-25.58,-87.48,-0.46,0.24
R00379,C0379,Original,Index_Observation,17,0,Holstein_Friesian,6.3,5,5,233,1,0,38.88,39.73,80.5,484.4,19.93,90.8,34.9,6.81,4.68,117,21.1,0.0,3.87,3.42,4.97,12.96,31.7,74.0,84.6,3,3,2,0.0,53.36,23.38,0.44,0.27,-2.7,-4.44,-5.93,11.69,-2.52,-19.88,-0.09,0.06
R00380,C0380,Original,Index_Observation,8,0,Jersey,6.4,6,6,24,0,0,38.42,39.85,52.6,425.5,19.73,75.9,35.8,6.75,4.53,92,20.5,0.0,4.38,3.0,4.64,12.82,27.8,46.5,75.0,3,1,2,0.0,-36.02,-114.09,0.03,0.53,0.36,-4.93,-3.17,-13.52,20.05,47.39,-0.0,0.37
R00381,C0381,Original,Index_Observation,4,0,Holstein_Friesian,4.8,4,4,21,0,1,38.44,39.21,67.1,464.8,20.17,71.7,38.22,7.19,6.53,506,7.2,1.0,3.76,3.49,4.71,12.76,22.3,50.1,68.3,2,2,2,1.0,108.43,,-0.47,,-3.04,,3.73,,-36.34,,0.58,
R00382,C0382,Original,Index_Observation,6,0,Gir,6.2,5,5,54,0,1,38.81,39.15,75.8,390.5,8.22,59.3,38.01,7.02,6.67,702,6.1,1.0,3.82,3.33,4.81,12.65,14.0,55.3,57.4,1,3,2,1.0,-236.7,,-0.31,,2.91,,-7.97,,23.23,,-0.13,
R00383,C0383,Original,Index_Observation,8,0,Sahiwal,5.0,3,3,100,1,1,38.21,37.8,75.1,518.5,12.59,71.4,35.39,6.56,4.85,225,18.8,0.0,4.52,2.89,4.86,13.1,41.0,61.8,95.8,2,2,2,0.0,44.72,-112.93,-0.31,-0.33,2.01,2.44,-1.22,-20.75,5.05,-9.18,0.11,-0.52
R00384,C0384,Original,Index_Observation,20,0,Holstein_Friesian,3.5,2,2,50,0,0,39.21,39.15,43.3,468.6,19.33,95.5,38.3,7.11,7.4,599,11.8,1.0,4.16,3.6,4.87,13.36,28.4,75.4,79.7,1,2,2,1.0,119.9,315.83,-0.05,0.04,-0.59,-0.84,9.74,15.32,-17.24,-34.67,-0.26,-0.14
R00385,C0385,Original,Index_Observation,30,0,Holstein_Friesian,5.8,5,5,152,0,1,38.77,39.94,56.5,405.6,22.28,36.2,37.82,7.18,6.41,705,11.5,1.0,4.22,3.38,4.96,13.31,14.0,60.1,57.4,1,4,2,1.0,310.82,290.01,0.18,0.02,-2.23,-6.88,-18.78,-23.82,-56.9,11.47,0.21,0.42
R00386,C0386,Original,Index_Observation,3,0,Gir,4.7,3,3,32,0,1,38.45,38.46,52.0,497.5,9.93,46.8,35.33,6.8,4.51,104,15.0,0.0,3.75,3.31,4.76,12.32,29.6,65.8,80.1,2,3,2,0.0,,,,,,,,,,,,
R00387,C0387,Original,Index_Observation,16,0,Jersey,4.5,4,4,22,0,1,38.68,38.94,54.3,542.3,16.44,94.1,35.19,6.59,4.77,194,28.1,0.0,3.91,3.47,5.06,13.06,31.6,97.0,88.3,2,2,2,0.0,2.42,-14.87,-0.51,-0.16,-1.0,-1.53,-5.25,6.39,27.03,-43.68,0.03,0.51
R00388,C0388,Original,Index_Observation,30,0,Gir,7.2,5,5,48,0,0,38.18,38.83,73.7,469.7,9.85,77.2,35.35,6.63,4.61,127,21.6,0.0,3.95,3.56,4.65,12.79,24.3,50.7,70.9,3,5,3,0.0,-0.13,28.75,0.34,0.63,-1.91,-0.5,-9.6,-17.22,23.24,37.72,0.57,0.6
R00389,C0389,Original,Index_Observation,25,0,Crossbred,2.0,1,1,9,0,1,38.08,39.05,80.0,489.1,20.8,59.6,35.31,6.49,4.63,152,20.6,0.0,3.67,3.28,4.61,12.25,24.3,55.2,71.4,3,2,3,0.0,-17.69,-25.97,0.29,0.64,-2.33,-3.77,10.19,6.04,-6.59,-39.92,0.22,0.46
R00390,C0390,Original,Index_Observation,3,0,Sahiwal,2.0,1,1,20,0,1,38.65,38.97,74.9,431.1,13.5,66.4,35.59,6.61,4.93,188,21.8,0.0,3.56,3.39,4.77,12.45,27.9,75.2,78.9,3,3,2,0.0,,,,,,,,,,,,
R00391,C0391,Original,Index_Observation,25,0,Jersey,2.4,1,1,268,0,0,38.44,38.87,70.4,471.7,14.43,50.6,38.08,7.03,6.27,549,8.4,1.0,3.93,3.38,4.5,12.55,34.3,79.8,89.7,3,1,2,1.0,-36.22,309.11,-0.34,0.07,-1.05,-1.72,-12.65,-10.58,37.56,59.42,0.43,0.86
R00392,C0392,Original,Index_Observation,29,0,Crossbred,3.8,2,2,32,1,1,38.16,38.59,72.6,372.5,16.12,91.0,35.5,6.6,5.28,148,19.6,0.0,4.43,3.16,4.17,12.51,28.5,71.2,79.3,3,2,2,0.0,-35.63,-128.8,-0.13,-0.29,3.13,2.46,-5.87,-7.26,-1.08,-16.36,-0.56,0.34
R00393,C0393,Original,Index_Observation,18,0,Holstein_Friesian,4.0,3,3,236,0,0,38.79,38.95,64.9,462.6,20.63,93.7,35.72,6.71,4.15,149,18.1,0.0,3.42,2.89,4.6,11.56,35.6,92.1,94.4,1,2,2,0.0,34.71,67.8,0.3,0.56,-1.83,-2.2,13.04,-9.03,6.83,19.03,-0.31,-0.37
R00394,C0394,Original,Index_Observation,14,0,Jersey,2.0,1,1,290,0,0,38.72,38.9,64.5,448.3,14.48,104.1,36.1,6.63,4.52,177,21.8,0.0,3.31,3.29,4.6,12.0,33.9,69.8,87.2,2,1,2,0.0,-14.39,-102.42,0.64,1.18,-0.93,-0.6,2.53,-1.29,34.35,-3.79,0.22,0.1
R00395,C0395,Original,Index_Observation,18,0,Crossbred,2.7,1,1,79,0,0,38.14,38.7,66.7,545.9,15.41,58.2,35.97,6.68,4.81,174,21.2,0.0,3.48,3.55,4.31,12.24,26.8,35.4,72.3,1,2,2,0.0,-13.65,-30.18,-1.12,-1.01,2.72,2.12,12.12,39.68,-58.01,-61.57,0.67,0.99
R00396,C0396,Original,Index_Observation,2,0,Holstein_Friesian,3.0,2,2,32,0,0,38.64,39.29,51.4,369.5,23.72,49.9,38.74,7.08,7.64,730,12.9,0.0,3.86,3.44,4.33,12.32,19.8,66.5,65.9,1,1,2,1.0,,,,,,,,,,,,
R00397,C0397,Original,Index_Observation,22,0,Sahiwal,8.9,8,8,36,0,1,38.13,39.34,64.6,434.8,11.94,64.1,34.22,6.66,4.67,153,24.3,0.0,3.87,3.0,4.99,12.52,26.8,56.4,74.9,1,3,3,0.0,-54.71,4.63,-0.51,-0.81,0.15,-3.0,-2.57,3.59,-57.48,-101.85,-0.17,-0.21
R00398,C0398,Original,Index_Observation,3,0,Crossbred,7.7,6,6,51,1,1,39.11,39.68,72.7,500.8,13.24,98.1,35.97,6.35,4.68,135,20.9,0.0,4.45,3.48,4.67,13.24,30.7,85.8,85.0,3,1,2,0.0,,,,,,,,,,,,
R00399,C0399,Original,Index_Observation,16,0,Holstein_Friesian,3.8,2,2,56,1,1,38.75,39.59,64.1,437.2,19.85,87.5,34.82,6.63,4.82,91,22.2,0.0,3.95,3.15,4.83,12.66,28.3,79.5,80.1,3,1,2,0.0,-22.17,-1.9,-0.09,-0.81,-0.96,3.64,4.79,7.35,128.03,95.66,0.41,0.1
R00400,C0400,Original,Index_Observation,29,0,Holstein_Friesian,3.8,3,3,75,0,1,38.37,38.36,100.0,444.8,23.3,85.2,35.39,6.49,4.63,160,24.2,0.0,3.64,2.78,5.17,12.26,31.3,41.2,78.5,4,5,2,0.0,30.42,61.67,0.3,0.84,0.22,5.3,6.86,18.28,-37.51,-51.3,-0.5,-0.03
R00401,C0401,Original,Index_Observation,9,0,Crossbred,2.4,1,1,124,0,1,38.65,39.25,61.4,419.4,16.21,82.3,34.91,6.77,5.12,226,20.1,0.0,3.91,3.48,4.69,12.63,32.5,85.3,87.8,4,3,3,0.0,73.78,67.29,0.17,0.03,-1.08,-2.43,3.77,-9.85,-29.13,-58.13,-0.32,-0.33
R00402,C0402,Original,Index_Observation,4,0,Gir,2.0,1,1,54,0,0,38.01,38.14,71.0,410.5,11.44,79.4,34.6,6.73,4.95,115,21.0,0.0,3.97,3.02,5.04,12.6,30.8,79.1,84.0,3,5,2,0.0,-14.13,,0.11,,-1.41,,2.53,,26.71,,-0.41,
R00403,C0403,Original,Index_Observation,1,0,Sahiwal,4.3,3,3,110,0,1,38.31,38.86,49.6,388.9,14.6,66.2,35.77,6.7,4.96,119,22.4,0.0,3.06,3.62,4.58,12.08,26.6,60.1,75.0,1,2,3,0.0,,,,,,,,,,,,
R00404,C0404,Original,Index_Observation,4,0,Crossbred,2.7,3,3,228,1,1,38.57,39.23,69.1,435.8,15.25,83.5,35.88,6.8,4.41,115,17.8,0.0,4.17,3.48,4.54,13.04,30.7,63.8,81.4,3,1,3,0.0,17.3,,-0.5,,1.55,,11.02,,-2.61,,1.34,
R00405,C0405,Original,Index_Observation,1,0,Gir,4.3,2,2,183,0,0,38.63,39.05,65.9,405.4,12.63,76.6,35.21,6.56,4.68,179,20.2,0.0,3.16,3.2,4.83,12.07,39.6,85.9,99.8,3,3,2,0.0,,,,,,,,,,,,
R00406,C0406,Original,Index_Observation,14,0,Sahiwal,2.0,1,1,147,0,0,38.39,39.7,77.8,439.6,11.56,62.7,34.2,6.82,4.61,168,20.4,0.0,3.71,3.35,4.98,12.78,20.3,35.4,64.7,3,3,3,0.0,25.47,-33.83,-0.0,-0.16,0.21,-0.75,-18.82,-22.2,-11.78,-67.51,-0.38,0.5
